"V62","Dep_v62","V70"
"QWLDEX_i","VXWCOMMOD","E_vxwcom;E_pxwcom;E_qxwcom"
"QWLDEX","Variable","E_pxwwld;E_qxwwld;E_ywld"
"QREGIM_is","VIW","(no-match)"
"QREGIM_s","VIWREGION","(no-match)"
"QWLDIM_i","VIWCOMMOD","(no-match)"
"QWLDOUT","VWOW","E_valuew;E_pw;E_qow"
"QWLDOUTU","VWOU","E_valuewu;E_pwu;E_qowu"
"TRADEBAL_i","DTBALi","(no-match)"
"TRADEBALANCE","DTBAL","(no-match)"
"DTBALRATIO","","E_qinv;E_globalcgds;E_del_taxrexp;E_del_taxrinc;E_walras_dem;E_del_tbalry"
"GOVUSHD","ygev","E_ugev;E_ygev"
"PRIVDMNDSEV","qpev","E_qpev"
"PRIVATEUEV","ypev","E_upev;E_ypev"
"UTILELASPRIVEV","ueprivev","E_ueprivev"
"DPARAVEV","dpavev","E_dpavev"
"UTILITELASTICEV","uelasev","E_uelasev"
"PCONSEXPEV","ypev","E_upev;E_ypev"
"GOVCONSEXPEV","ygev","E_ugev;E_ygev"
"SAVINGEV","ysaveev","E_ysaveev"
"SAVEUEV","qsaveev","E_qsaveev"
"INCOME_EQUIV","u","E_u;E_yev"
"EVREG","EV","E_EV"
"EVWLD","WEV","E_WEV"
"EV_DECOMPOSITION","EV_ALT","E_EV_ALT"
"WORLDEV","WEV_ALT","E_WEV_ALT"
"CNT_WEV_dpar","CNTdpar","E_CNTdpar"
"CONT_EV_pop","CNTpopr","(no-match)"
"CONT_EV_qor","CNTqor","E_CNTqor"
"CONT_EV_qoir","CNTqoir","(no-match)"
"CONT_EV_qfer","CNTqfer","E_CNTqfer"
"CONT_EV_qfeir","CNTqfeir","(no-match)"
"CONT_EV_qfeijr","CNTqfeijr","(no-match)"
"CONT_EV_qfmr","CNTqfmr","(no-match)"
"CONT_EV_qfmir","CNTqfmir","(no-match)"
"CONT_EV_qfmijr","CNTqfmijr","(no-match)"
"CONT_EV_qfdr","CNTqfdr","(no-match)"
"CONT_EV_qfdir","CNTqfdir","(no-match)"
"CONT_EV_qfdijr","CNTqfdijr","(no-match)"
"CONT_EV_qpmr","CNTqpmr","(no-match)"
"CONT_EV_qpmir","CNTqpmir","(no-match)"
"CONT_EV_qpdr","CNTqpdr","(no-match)"
"CONT_EV_qpdir","CNTqpdir","(no-match)"
"CONT_EV_qgmr","CNTqgmr","(no-match)"
"CONT_EV_qgmir","CNTqgmir","(no-match)"
"CONT_EV_qgdr","CNTqgdr","(no-match)"
"CONT_EV_qgdir","CNTqgdir","(no-match)"
"CONT_EV_qxsr","CNTqxsr","E_CNTqxsr"
"CONT_EV_qxsirs","CNTqxsirs","(no-match)"
"CONT_EV_qimr","CNTqimr","(no-match)"
"CONT_EV_qimisr","CNTqimisr","(no-match)"
"CONT_EV_alleffr","CNTalleffr","E_CNTalleffr"
"CONT_EV_alleffir_E","CNTalleffir","(no-match)"
"CONT_EV_alleffir_T","CNTalleffir","(no-match)"
"CONT_EV_totr","CNTtotr","E_CNTtotr"
"CNT_EV_cgdsr","CNTcgdsr","(no-match)"
"CONT_EV_endwr","CNTendwr","E_CNTendwr"
"CONT_EV_endwir","CNTendwir","(no-match)"
"CONT_EV_techr","CNTtechr","E_CNTtechr"
"CONT_EV_tech_aor","CNTtech_aor","(no-match)"
"CONT_EV_tech_aoir","CNTtech_aoir","(no-match)"
"CONT_EV_tech_afer","CNTtech_afer","(no-match)"
"CONT_EV_tech_afeijr","CNTtech_afeijr","(no-match)"
"CONT_EV_tech_avar","CNTtech_avar","(no-match)"
"CONT_EV_tech_avajr","CNTtech_avajr","(no-match)"
"CONT_EV_tech_afr","CNTtech_afr","(no-match)"
"CONT_EV_tech_afijr","CNTtech_afijr","(no-match)"
"CONT_EV_tech_atrr","CNTtech_atrr","(no-match)"
"CONT_EV_tech_afmfdsd","CNTtech_afmfdsd","(no-match)"
"CONT_EV_tech_amsr","CNTtech_amsr","(no-match)"
"CONT_EV_tech_amsirs","CNTtech_amsirs","(no-match)"
"CONT_EV_kbr","CNTkbr","(no-match)"
"EXPPRICE_MARG","px_ir","(no-match)"
"EXPPRICE_NMRG","px_ir","(no-match)"
"IMPPRICE1_MARG","pm_ir","(no-match)"
"IMPPRICE1_NMRG","pm_ir","(no-match)"
"WRLDPRICEi","px_i","(no-match)"
"WRLDPRICE","px_","(no-match)"
"c1_irEQ","c1_ir","(no-match)"
"c2_irEQ","c2_ir","(no-match)"
"c3_irEQ","c3_ir","(no-match)"
"c1_rEQ","c1_r","E_c1_r"
"c2_rEQ","c2_r","E_c2_r"
"c3_rEQ","c3_r","E_c3_r"
"TOT2eq","tot2","E_tot2"
"E_delMTAX","delMTAX","(no-match)"
"E_aggqva","AGGVA","(no-match)"
"E_aggqxw","","E_qinv;E_globalcgds;E_del_taxrexp;E_del_taxrinc;E_walras_dem;E_del_tbalry"
